Species	Ks
LMA_LMB	0.325714
LMA_LMB	0.561162
LMA_LMB	0.369686
LMA_LMB	0.182263
LMA_LMB	0.439668
LMA_LMB	0.302215
LMA_LMB	0.458733
LMA_LMB	0.0183486
LMA_LMB	0.296756
LMA_LMB	0.525974
LMA_LMB	0.36771
LMA_LMB	0.0283186
LMA_LMB	0.254818
LMA_LMB	0.226316
LMA_LMB	0.237069
LMA_LMB	0.0798969
LMA_LMB	0.206015
LMA_LMB	0.101911
LMA_LMB	0.0403397
LMA_LMB	0.43125
LMA_LMB	0.258799
LMA_LMB	0.155718
LMA_LMB	0.313701
LMA_LMB	0.051756
LMA_LMB	0.408081
LMA_LMB	0.4272
LMA_LMB	0.133865
LMA_LMB	0.234139
LMA_LMB	0.335616
LMA_LMB	0.123077
LMA_LMB	0.280318
LMA_LMB	0.331675
LMA_LMB	0.254669
LMA_LMB	0.10219
LMA_LMB	0.0996835
LMA_LMB	0.260407
LMA_LMB	0.131234
LMA_LMB	0.090301
LMA_LMB	0.299355
LMA_LMB	0.31291
LMA_LMB	0.392157
LMA_LMB	0.0015873
LMA_LMB	0.076742
LMA_LMB	0.217997
LMA_LMB	0.0966272
LMA_LMB	0.100826
LMA_LMB	0.0925666
LMA_LMB	0.118431
LMA_LMB	0.157258
LMA_LMB	0.0391029
LMA_LMB	0.21844
LMA_LMB	0.574344
LMA_LMB	0.0327869
LMA_LMB	0.402908
LMA_LMB	0.0732394
LMA_LMB	0.166453
LMA_LMB	0.414914
LMA_LMB	0.138554
LMA_LMB	0.101967
LMA_LMB	0.282345
LMA_LMB	0.058548
LMA_LMB	0.45
LMA_LMB	0.279188
LMA_LMB	0.260597
LMA_LMB	0.32265
LMA_LMB	0.348669
LMA_LMB	0.368421
LMA_LMB	0.157178
LMA_LMB	0.145161
LMA_LMB	0.195219
LMA_LMB	0.10609
LMA_LMB	0.0314494
LMA_LMB	0.459239
LMA_LMB	0.0562914
LMA_LMB	0.120118
LMA_LMB	0.430976
LMA_LMB	0.274554
LMA_LMB	0.192369
LMA_LMB	0.572008
LMA_LMB	0.412565
LMA_LMB	0.241458
LMA_LMB	0.235835
LMA_LMB	0.456019
LMA_LMB	0.0769231
LMA_LMB	0.208843
LMA_LMB	0.319678
LMA_LMB	0.173312
LMA_LMB	0.0368139
LMA_LMB	0.0579329
LMA_LMB	0.382883
LMA_LMB	0.109714
LMA_LMB	0.0853659
LMA_LMB	0.247325
LMA_LMB	0.131682
LMA_LMB	0.012024
LMA_LMB	0.364045
LMA_LMB	0.253769
LMA_LMB	0.534173
LMA_LMB	0.357678
LMA_LMB	0.507589
LMA_LMB	0.669617
LMA_LMB	0.000843882
LMA_LMB	0.221319
LMA_LMB	0.907193
LMA_LMB	0.404377
LMA_LMB	0.254369
LMA_LMB	0.159496
LMA_LMB	0.0754893
LMA_LMB	0.217772
LMA_LMB	0.200306
LMA_LMB	0.135593
LMA_LMB	0.183333
LMA_LMB	0.312071
LMA_LMB	0.502591
LMA_LMB	0.319679
LMA_LMB	0.431319
LMA_LMB	0.212903
LMA_LMB	0.161342
LMA_LMB	0.146115
LMA_LMB	0.0299401
LMA_LMB	0.162954
LMA_LMB	0.0716235
LMA_LMB	0.244275
LMA_LMB	0.217514
LMA_LMB	0.18859
LMA_LMB	0.0344828
LMA_LMB	0.315978
LMA_LMB	0.0982949
LMA_LMB	0.309683
LMA_LMB	0.27707
LMA_LMB	0.0954617
LMA_LMB	0.0242817
LMA_LMB	0.63728
LMA_LMB	0.245478
LMA_LMB	0.188679
LMA_LMB	0.11416
LMA_LMB	1.18951
LMA_LMB	0.218354
LMA_LMB	0.219836
LMA_LMB	0.338435
LMA_LMB	0.177612
LMA_LMB	0.199894
LMA_LMB	0.0813253
LMA_LMB	0.352727
LMA_LMB	0.485799
LMA_LMB	0.0757781
LMA_LMB	0.32493
LMA_LMB	0.230733
LMA_LMB	0.551965
LMA_LMB	0.328244
LMA_LMB	0.211604
LMA_LMB	0.0530537
LMA_LMB	0.0679117
LMA_LMB	0.0947581
LMA_LMB	0.158824
LMA_LMB	0.140329
LMA_LMB	0.10643
LMA_LMB	0.203937
LMA_LMB	0.363636
LMA_LMB	0.116447
LMA_LMB	0.464858
LMA_LMB	0.0456026
LMA_LMB	0.29955
LMA_LMB	0.0754205
LMA_LMB	0.038695
LMA_LMB	0.0393035
LMA_LMB	0.89008
LMA_LMB	0.425243
LMA_LMB	0.50813
LMA_LMB	0.0322946
LMA_LMB	0.389058
LMA_LMB	0.336915
LMA_LMB	0.285714
LMA_LMB	0.160454
LMA_LMB	0.066838
LMA_LMB	0.161876
LMA_LMB	0.15237
LMA_LMB	0.170122
LMA_LMB	0.275763
LMA_LMB	0.366906
LMA_LMB	0.460407
LMA_LMB	0.190939
LMA_LMB	0.295062
LMA_LMB	0.500904
LMA_LMB	0.276052
LMA_LMB	0.15041
LMA_LMB	0.0332326
LMA_LMB	0.0606796
LMA_LMB	0.153846
LMA_LMB	0.395631
LMA_LMB	0.287714
LMA_LMB	0.2876
LMA_LMB	0.0479452
LMA_LMB	0.0572207
LMA_LMB	0.122211
LMA_LMB	0.0875912
LMA_LMB	0.275862
LMA_LMB	0.331026
LMA_LMB	0.138135
LMA_LMB	0.0433234
LMA_LMB	0.169192
LMA_LMB	0.155411
LMA_LMB	0.636929
LMA_LMB	0.181488
LMA_LMB	0.188623
LMA_LMB	0.0842697
LMA_LMB	0.371694
LMA_LMB	0.000998004
LMA_LMB	0.0527383
LMA_LMB	0.336066
LMA_LMB	0.565
LMA_LMB	0.084186
LMA_LMB	0.37467
LMA_LMB	0.0562678
LMA_LMB	0.0832049
LMA_LMB	0.520755
LMA_LMB	0.0955994
LMA_LMB	0.0491803
LMA_LMB	0.0600343
LMA_LMB	0.262948
LMA_LMB	0.156015
LMA_LMB	0.0679172
LMA_LMB	0.198068
LMA_LMB	0.198987
LMA_LMB	0.252088
LMA_LMB	0.303748
LMA_LMB	0.205405
LMA_LMB	0.447059
LMA_LMB	0.155251
LMA_LMB	0.0332133
LMA_LMB	0.346044
LMA_LMB	0.0742092
LMA_LMB	0.215278
LMA_LMB	0.257802
LMA_LMB	0.162589
LMA_LMB	0.527638
LMA_LMB	0.227707
LMA_LMB	0.697842
LMA_LMB	0.0437318
LMA_LMB	0.498294
LMA_LMB	0.0462963
LMA_LMB	0.19
LMA_LMB	0.150552
LMA_LMB	0.348157
LMA_LMB	0.0747065
LMA_LMB	0.0877042
LMA_LMB	0.317647
LMA_LMB	0.0465632
LMA_LMB	0.103665
LMA_LMB	0.169643
LMA_LMB	0.0673333
LMA_LMB	0.0880914
LMA_LMB	0.147059
LMA_LMB	0.645868
LMA_LMB	0.0941296
LMA_LMB	0.359906
LMA_LMB	0.769663
LMA_LMB	0.316568
LMA_LMB	0.101266
LMA_LMB	0.345361
LMA_LMB	0.403813
LMA_LMB	0.0602911
LMA_LMB	0.227991
LMA_LMB	0.0992167
LMA_LMB	0.495112
LMA_LMB	0.145763
LMA_LMB	0.200299
LMA_LMB	0.0690073
LMA_LMB	0.282374
LMA_LMB	0.420155
LMA_LMB	0
LMA_LMB	0.2949
LMA_LMB	0.38543
LMA_LMB	0.125561
LMA_LMB	0.17024
LMA_LMB	0.116972
LMA_LMB	0.383104
LMA_LMB	0.305703
LMA_LMB	0.286017
LMA_LMB	0.349711
LMA_LMB	0.161728
LMA_LMB	0.444227
LMA_LMB	0.701518
LMA_LMB	0.126154
LMA_LMB	0.0701001
LMA_LMB	0.198683
LMA_LMB	0.0924855
LMA_LMB	0.0398202
LMA_LMB	0.463432
LMA_LMB	0.0708592
LMA_LMB	0.221338
LMA_LMB	0.0776042
LMA_LMB	0.379475
LMA_LMB	0.0159332
LMA_LMB	0.14166
LMA_LMB	0.137124
LMA_LMB	0.00134771
LMA_LMB	0.161786
LMA_LMB	0.303647
LMA_LMB	0.228232
LMA_LMB	0.0629655
LMA_LMB	0.15261
LMA_LMB	0.203072
LMA_LMB	0.250482
LMA_LMB	0.374346
LMA_LMB	0.05
LMA_LMB	0.161898
LMA_LMB	0.378623
LMA_LMB	0.262032
LMA_LMB	0.235033
LMA_LMB	0.307317
LMA_LMB	0.106961
LMA_LMB	0.118095
LMA_LMB	0.0200222
LMA_LMB	0.126198
LMA_LMB	0.037415
LMA_LMB	0.11329
LMA_LMB	0.00890736
LMA_LMB	0.57177
LMA_LMB	0.127301
LMA_LMB	0.493003
LMA_LMB	0.136364
LMA_LMB	0.243553
LMA_LMB	0.277808
LMA_LMB	0.48355
LMA_LMB	0.855204
LMA_LMB	0.129938
LMA_LMB	0.138991
LMA_LMB	0.124697
LMA_LMB	0.225225
LMA_LMB	0.317726
