Species	Ks
AP13K_AP13N	0.726882
AP13K_AP13N	0.367374
AP13K_AP13N	0.128676
AP13K_AP13N	0.485512
AP13K_AP13N	0.727745
AP13K_AP13N	0.246305
AP13K_AP13N	0.0750951
AP13K_AP13N	0.145028
AP13K_AP13N	0.494033
AP13K_AP13N	0.262551
AP13K_AP13N	0.146204
AP13K_AP13N	0.113344
AP13K_AP13N	0.08
AP13K_AP13N	0.311721
AP13K_AP13N	0.118959
AP13K_AP13N	0.0906475
AP13K_AP13N	0.166221
AP13K_AP13N	0.0896615
AP13K_AP13N	0.275132
AP13K_AP13N	0.12304
AP13K_AP13N	0.326002
AP13K_AP13N	0.413559
AP13K_AP13N	0.377329
AP13K_AP13N	0.151877
AP13K_AP13N	0.135965
AP13K_AP13N	0.131563
AP13K_AP13N	0.436426
AP13K_AP13N	0.17521
AP13K_AP13N	0.101828
AP13K_AP13N	0.133333
AP13K_AP13N	0.0876232
AP13K_AP13N	0.445833
AP13K_AP13N	0.117788
AP13K_AP13N	0.529762
AP13K_AP13N	0.376481
AP13K_AP13N	0.212534
AP13K_AP13N	0.752674
AP13K_AP13N	0.371622
AP13K_AP13N	0.000749625
AP13K_AP13N	0.757219
AP13K_AP13N	0.19139
AP13K_AP13N	0.196471
AP13K_AP13N	0.220576
AP13K_AP13N	0.138814
AP13K_AP13N	0.299618
AP13K_AP13N	0.134193
AP13K_AP13N	0.233129
AP13K_AP13N	0.0943635
AP13K_AP13N	0.131595
AP13K_AP13N	0.204545
AP13K_AP13N	0.31831
AP13K_AP13N	0.0160256
AP13K_AP13N	0.289345
AP13K_AP13N	0.37557
AP13K_AP13N	0.277512
AP13K_AP13N	0.247569
AP13K_AP13N	0.307544
AP13K_AP13N	0.767241
AP13K_AP13N	0.104699
AP13K_AP13N	0.259629
AP13K_AP13N	0.430556
AP13K_AP13N	0.0899001
AP13K_AP13N	0.120726
AP13K_AP13N	0.28699
AP13K_AP13N	0.0227531
AP13K_AP13N	0.430493
AP13K_AP13N	0.0673298
AP13K_AP13N	0.0577778
AP13K_AP13N	0.203033
AP13K_AP13N	0.228018
AP13K_AP13N	0.0827004
AP13K_AP13N	0.186567
AP13K_AP13N	0.216077
AP13K_AP13N	0.113032
AP13K_AP13N	0.354511
AP13K_AP13N	0.256
AP13K_AP13N	0.324706
AP13K_AP13N	0.21048
AP13K_AP13N	0.135688
AP13K_AP13N	0.144615
AP13K_AP13N	0.25162
AP13K_AP13N	0.000880282
AP13K_AP13N	0
AP13K_AP13N	0.175084
AP13K_AP13N	0.0897552
AP13K_AP13N	0.585934
AP13K_AP13N	0.539037
AP13K_AP13N	0.293317
AP13K_AP13N	0.352645
